invoice_number,sale_date,sale_type,salesperson,customer,product,material_type,quantity,price
INV-00001,2026-04-25,credit,Faris Dugar,Ahluwalia-Chacko Textiles,Cotton Fabric,cotton,1,120
INV-00001,2026-04-25,credit,Faris Dugar,Ahluwalia-Chacko Textiles,Yarn Roll,yarn,14,90
INV-00001,2026-04-25,credit,Faris Dugar,Ahluwalia-Chacko Textiles,Nylon Fabric,nylon,10,180
INV-00002,2025-10-11,credit,Madhavi Bhargava,Wason Inc Textiles,Nylon Fabric,nylon,25,180
INV-00002,2025-10-11,credit,Madhavi Bhargava,Wason Inc Textiles,Wool Fabric,wool,17,200
INV-00002,2025-10-11,credit,Madhavi Bhargava,Wason Inc Textiles,Cotton Fabric,cotton,2,120
INV-00002,2025-10-11,credit,Madhavi Bhargava,Wason Inc Textiles,Nylon Fabric,nylon,14,180
INV-00003,2025-08-05,cash,Gopal Vaidya,"Anne, Tata and Jain Fabrics",Cotton Fabric,cotton,12,120
INV-00003,2025-08-05,cash,Gopal Vaidya,"Anne, Tata and Jain Fabrics",Cotton Fabric,cotton,17,120
INV-00003,2025-08-05,cash,Gopal Vaidya,"Anne, Tata and Jain Fabrics",Nylon Fabric,nylon,5,180
INV-00004,2026-01-02,credit,Manya Soni,"Sharma, Bath and Oak Traders",Wool Fabric,wool,11,200
INV-00004,2026-01-02,credit,Manya Soni,"Sharma, Bath and Oak Traders",Cotton Fabric,cotton,16,120
INV-00004,2026-01-02,credit,Manya Soni,"Sharma, Bath and Oak Traders",Nylon Fabric,nylon,24,180
INV-00004,2026-01-02,credit,Manya Soni,"Sharma, Bath and Oak Traders",Nylon Fabric,nylon,21,180
INV-00005,2026-05-22,cash,Ishaan Krish,Parmer-Narang Stores,Silk Fabric,silk,21,350
INV-00005,2026-05-22,cash,Ishaan Krish,Parmer-Narang Stores,Polyester Sheet,polyester,24,150
INV-00006,2025-02-09,cash,Ethan Das,Swamy-Mangal Retailers,Yarn Roll,yarn,4,90
INV-00006,2025-02-09,cash,Ethan Das,Swamy-Mangal Retailers,Silk Fabric,silk,10,350
INV-00006,2025-02-09,cash,Ethan Das,Swamy-Mangal Retailers,Yarn Roll,yarn,2,90
INV-00007,2025-07-29,credit,Yashodhara Sahni,Lall-Bhat Traders,Nylon Fabric,nylon,25,180
INV-00007,2025-07-29,credit,Yashodhara Sahni,Lall-Bhat Traders,Silk Fabric,silk,8,350
INV-00007,2025-07-29,credit,Yashodhara Sahni,Lall-Bhat Traders,Silk Fabric,silk,22,350
INV-00007,2025-07-29,credit,Yashodhara Sahni,Lall-Bhat Traders,Yarn Roll,yarn,10,90
INV-00008,2024-10-01,credit,Madhavi Bhargava,Sheth PLC Mart,Yarn Roll,yarn,1,90
INV-00008,2024-10-01,credit,Madhavi Bhargava,Sheth PLC Mart,Silk Fabric,silk,4,350
INV-00008,2024-10-01,credit,Madhavi Bhargava,Sheth PLC Mart,Nylon Fabric,nylon,15,180
INV-00009,2025-05-27,cash,Kashvi Vohra,Borde PLC Retailers,Polyester Sheet,polyester,23,150
INV-00009,2025-05-27,cash,Kashvi Vohra,Borde PLC Retailers,Nylon Fabric,nylon,20,180
INV-00009,2025-05-27,cash,Kashvi Vohra,Borde PLC Retailers,Wool Fabric,wool,24,200
INV-00010,2025-03-16,cash,Kashvi Vohra,Sachdeva Group Stores,Silk Fabric,silk,4,350
INV-00010,2025-03-16,cash,Kashvi Vohra,Sachdeva Group Stores,Silk Fabric,silk,14,350
INV-00010,2025-03-16,cash,Kashvi Vohra,Sachdeva Group Stores,Cotton Fabric,cotton,20,120
INV-00011,2026-05-19,cash,Manya Soni,Sandal Inc Fabrics,Nylon Fabric,nylon,4,180
INV-00011,2026-05-19,cash,Manya Soni,Sandal Inc Fabrics,Yarn Roll,yarn,9,90
INV-00012,2024-11-15,cash,Patrick Bala,"Vyas, Natarajan and Mann Textiles",Yarn Roll,yarn,12,90
INV-00012,2024-11-15,cash,Patrick Bala,"Vyas, Natarajan and Mann Textiles",Nylon Fabric,nylon,6,180
INV-00012,2024-11-15,cash,Patrick Bala,"Vyas, Natarajan and Mann Textiles",Yarn Roll,yarn,4,90
INV-00012,2024-11-15,cash,Patrick Bala,"Vyas, Natarajan and Mann Textiles",Yarn Roll,yarn,3,90
INV-00013,2025-12-15,cash,Varenya Padmanabhan,Buch PLC Fabrics,Silk Fabric,silk,7,350
INV-00013,2025-12-15,cash,Varenya Padmanabhan,Buch PLC Fabrics,Wool Fabric,wool,10,200
INV-00013,2025-12-15,cash,Varenya Padmanabhan,Buch PLC Fabrics,Wool Fabric,wool,21,200
INV-00014,2026-01-06,credit,Ishaan Krish,Lata-Bail Mart,Yarn Roll,yarn,20,90
INV-00014,2026-01-06,credit,Ishaan Krish,Lata-Bail Mart,Silk Fabric,silk,24,350
INV-00014,2026-01-06,credit,Ishaan Krish,Lata-Bail Mart,Silk Fabric,silk,1,350
INV-00015,2025-11-16,cash,Christopher Sridhar,Chandran-Bahl Traders,Nylon Fabric,nylon,15,180
INV-00015,2025-11-16,cash,Christopher Sridhar,Chandran-Bahl Traders,Cotton Fabric,cotton,11,120
INV-00016,2025-12-10,credit,Manya Soni,Venkataraman-Dhar Mart,Cotton Fabric,cotton,17,120
INV-00016,2025-12-10,credit,Manya Soni,Venkataraman-Dhar Mart,Silk Fabric,silk,17,350
INV-00017,2025-08-13,credit,Christopher Sridhar,Gupta-Ahuja Enterprises,Yarn Roll,yarn,22,90
INV-00017,2025-08-13,credit,Christopher Sridhar,Gupta-Ahuja Enterprises,Yarn Roll,yarn,23,90
INV-00018,2026-11-21,credit,Keya Rajagopal,Agarwal-Babu Retailers,Nylon Fabric,nylon,23,180
INV-00018,2026-11-21,credit,Keya Rajagopal,Agarwal-Babu Retailers,Cotton Fabric,cotton,18,120
INV-00018,2026-11-21,credit,Keya Rajagopal,Agarwal-Babu Retailers,Nylon Fabric,nylon,17,180
INV-00018,2026-11-21,credit,Keya Rajagopal,Agarwal-Babu Retailers,Cotton Fabric,cotton,5,120
INV-00019,2026-08-19,credit,Urmi Gandhi,"Ganesan, Gaba and Pradhan Textiles",Yarn Roll,yarn,12,90
INV-00019,2026-08-19,credit,Urmi Gandhi,"Ganesan, Gaba and Pradhan Textiles",Silk Fabric,silk,17,350
INV-00019,2026-08-19,credit,Urmi Gandhi,"Ganesan, Gaba and Pradhan Textiles",Silk Fabric,silk,10,350
INV-00020,2026-03-02,cash,Irya Naik,"Chad, Mandal and Kibe Traders",Wool Fabric,wool,14,200
INV-00020,2026-03-02,cash,Irya Naik,"Chad, Mandal and Kibe Traders",Nylon Fabric,nylon,22,180
INV-00021,2024-04-01,credit,Forum Dhaliwal,Barman Ltd Retailers,Nylon Fabric,nylon,9,180
INV-00021,2024-04-01,credit,Forum Dhaliwal,Barman Ltd Retailers,Nylon Fabric,nylon,2,180
INV-00022,2024-04-24,cash,Christopher Sridhar,Bir PLC Retailers,Cotton Fabric,cotton,24,120
INV-00022,2024-04-24,cash,Christopher Sridhar,Bir PLC Retailers,Silk Fabric,silk,15,350
INV-00022,2024-04-24,cash,Christopher Sridhar,Bir PLC Retailers,Yarn Roll,yarn,12,90
INV-00023,2024-10-04,cash,Ishaan Krish,"Pall, Banerjee and Kant Traders",Nylon Fabric,nylon,12,180
INV-00023,2024-10-04,cash,Ishaan Krish,"Pall, Banerjee and Kant Traders",Polyester Sheet,polyester,8,150
INV-00024,2024-09-20,credit,Inaya Banik,Shroff-Mishra Retailers,Polyester Sheet,polyester,3,150
INV-00024,2024-09-20,credit,Inaya Banik,Shroff-Mishra Retailers,Polyester Sheet,polyester,11,150
INV-00024,2024-09-20,credit,Inaya Banik,Shroff-Mishra Retailers,Polyester Sheet,polyester,17,150
INV-00025,2026-12-31,cash,Ronith Mahal,Prasad-Chaudhari Distributors,Wool Fabric,wool,25,200
INV-00025,2026-12-31,cash,Ronith Mahal,Prasad-Chaudhari Distributors,Silk Fabric,silk,17,350
INV-00025,2026-12-31,cash,Ronith Mahal,Prasad-Chaudhari Distributors,Nylon Fabric,nylon,15,180
INV-00026,2026-11-03,cash,Faras Parmer,Hora-Kadakia Traders,Wool Fabric,wool,21,200
INV-00026,2026-11-03,cash,Faras Parmer,Hora-Kadakia Traders,Cotton Fabric,cotton,11,120
INV-00026,2026-11-03,cash,Faras Parmer,Hora-Kadakia Traders,Wool Fabric,wool,1,200
INV-00026,2026-11-03,cash,Faras Parmer,Hora-Kadakia Traders,Silk Fabric,silk,14,350
INV-00027,2024-10-07,cash,Nikita Rajan,"Chandran, Banerjee and Rau Distributors",Nylon Fabric,nylon,20,180
INV-00027,2024-10-07,cash,Nikita Rajan,"Chandran, Banerjee and Rau Distributors",Silk Fabric,silk,19,350
INV-00028,2025-11-17,credit,Lakshit Nath,"Gill, Khare and Palla Enterprises",Wool Fabric,wool,10,200
INV-00028,2025-11-17,credit,Lakshit Nath,"Gill, Khare and Palla Enterprises",Polyester Sheet,polyester,7,150
INV-00029,2026-10-25,cash,Faras Parmer,Pingle-Ganesh Traders,Cotton Fabric,cotton,5,120
INV-00029,2026-10-25,cash,Faras Parmer,Pingle-Ganesh Traders,Nylon Fabric,nylon,8,180
INV-00030,2024-10-25,cash,Madhavi Bhargava,Sibal and Sons Stores,Cotton Fabric,cotton,3,120
INV-00030,2024-10-25,cash,Madhavi Bhargava,Sibal and Sons Stores,Silk Fabric,silk,23,350
INV-00030,2024-10-25,cash,Madhavi Bhargava,Sibal and Sons Stores,Wool Fabric,wool,4,200
INV-00031,2024-12-22,credit,Forum Dhaliwal,"Chandran, Banerjee and Rau Distributors",Wool Fabric,wool,10,200
INV-00031,2024-12-22,credit,Forum Dhaliwal,"Chandran, Banerjee and Rau Distributors",Polyester Sheet,polyester,15,150
INV-00031,2024-12-22,credit,Forum Dhaliwal,"Chandran, Banerjee and Rau Distributors",Nylon Fabric,nylon,21,180
INV-00032,2024-11-21,credit,Urmi Gandhi,"Badami, Nori and Muni Distributors",Polyester Sheet,polyester,25,150
INV-00032,2024-11-21,credit,Urmi Gandhi,"Badami, Nori and Muni Distributors",Nylon Fabric,nylon,3,180
INV-00032,2024-11-21,credit,Urmi Gandhi,"Badami, Nori and Muni Distributors",Wool Fabric,wool,8,200
INV-00032,2024-11-21,credit,Urmi Gandhi,"Badami, Nori and Muni Distributors",Cotton Fabric,cotton,8,120
INV-00033,2025-10-20,credit,Vasana Bera,Ghose LLC Fabrics,Yarn Roll,yarn,23,90
INV-00033,2025-10-20,credit,Vasana Bera,Ghose LLC Fabrics,Cotton Fabric,cotton,9,120
INV-00034,2025-10-25,credit,Patrick Bala,"Loke, Konda and Setty Distributors",Silk Fabric,silk,3,350
INV-00034,2025-10-25,credit,Patrick Bala,"Loke, Konda and Setty Distributors",Silk Fabric,silk,10,350
INV-00034,2025-10-25,credit,Patrick Bala,"Loke, Konda and Setty Distributors",Polyester Sheet,polyester,5,150
INV-00034,2025-10-25,credit,Patrick Bala,"Loke, Konda and Setty Distributors",Yarn Roll,yarn,22,90
INV-00035,2026-09-18,credit,Faris Dugar,"Palan, Dube and Batra Fabrics",Silk Fabric,silk,22,350
INV-00035,2026-09-18,credit,Faris Dugar,"Palan, Dube and Batra Fabrics",Cotton Fabric,cotton,11,120
INV-00035,2026-09-18,credit,Faris Dugar,"Palan, Dube and Batra Fabrics",Silk Fabric,silk,21,350
INV-00035,2026-09-18,credit,Faris Dugar,"Palan, Dube and Batra Fabrics",Cotton Fabric,cotton,2,120
INV-00036,2026-03-03,credit,Kashvi Vohra,"Tella, Kaur and Suri Distributors",Yarn Roll,yarn,9,90
INV-00036,2026-03-03,credit,Kashvi Vohra,"Tella, Kaur and Suri Distributors",Silk Fabric,silk,16,350
INV-00036,2026-03-03,credit,Kashvi Vohra,"Tella, Kaur and Suri Distributors",Silk Fabric,silk,20,350
INV-00037,2025-04-25,credit,Varenya Padmanabhan,Sachar-Devi Traders,Wool Fabric,wool,22,200
INV-00037,2025-04-25,credit,Varenya Padmanabhan,Sachar-Devi Traders,Yarn Roll,yarn,24,90
INV-00037,2025-04-25,credit,Varenya Padmanabhan,Sachar-Devi Traders,Yarn Roll,yarn,3,90
INV-00038,2025-08-14,credit,Madhavi Bhargava,Sachar-Devi Traders,Silk Fabric,silk,15,350
INV-00038,2025-08-14,credit,Madhavi Bhargava,Sachar-Devi Traders,Wool Fabric,wool,16,200
INV-00039,2026-10-21,cash,Varenya Padmanabhan,Ahuja PLC Distributors,Silk Fabric,silk,24,350
INV-00039,2026-10-21,cash,Varenya Padmanabhan,Ahuja PLC Distributors,Yarn Roll,yarn,18,90
INV-00039,2026-10-21,cash,Varenya Padmanabhan,Ahuja PLC Distributors,Polyester Sheet,polyester,17,150
INV-00040,2024-12-21,credit,Manya Soni,"Dyal, Acharya and Bhatt Retailers",Yarn Roll,yarn,24,90
INV-00040,2024-12-21,credit,Manya Soni,"Dyal, Acharya and Bhatt Retailers",Yarn Roll,yarn,15,90
INV-00041,2026-10-01,cash,Ishaan Krish,Bahri Inc Stores,Wool Fabric,wool,8,200
INV-00041,2026-10-01,cash,Ishaan Krish,Bahri Inc Stores,Cotton Fabric,cotton,8,120
INV-00042,2025-07-21,credit,Patrick Bala,Shere-Bhatnagar Traders,Nylon Fabric,nylon,7,180
INV-00042,2025-07-21,credit,Patrick Bala,Shere-Bhatnagar Traders,Wool Fabric,wool,16,200
INV-00042,2025-07-21,credit,Patrick Bala,Shere-Bhatnagar Traders,Cotton Fabric,cotton,15,120
